,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
237,No.Ojibwa--Albanymoose,NOAM,51.22,-83.1,n,1.4299999999999999,NA,1.43,Binford 2001,35,NA,35
238,Waswanipi-Cree,NOAM,49.78,-76.64,n,0.40999999999999998,0.40000000000000002,0.405,"Binford 2001, Kelly 2013",40,NA,40
239,Ojibwa-Weagamon,NOAM,52.79,-90.64,n,0.51000000000000001,NA,0.51,Binford 2001,35,NA,35
240,Montagnais,NOAM,52.42,-63.33,n,0.40999999999999998,NA,0.41,"Binford 2001, Kelly 2013",40,20,30
241,Sekani,NOAM,56.14,-120,n,0.81999999999999995,1,0.91,"Binford 2001, Kelly 2013",30,NA,30
242,Beaver,NOAM,58.51,-115.76,n,0.51000000000000001,0.5,0.505,"Binford 2001, Kelly 2013",35,NA,35
243,Slave,NOAM,61.15,-119.5,n,1,1.3999999999999999,1.2,"Binford 2001, Kelly 2013",30,40,35
244,Kaska,NOAM,59.73,-125,n,0.90000000000000002,1,0.95,"Binford 2001, Kelly 2013",25,50,37.5
245,Tahltan,NOAM,57.66,-127.85,n,1.1599999999999999,1.1000000000000001,1.13,"Binford 2001, Kelly 2013",30,40,35
246,Chilcotin,NOAM,51.68,-124,n,11.52,13,12.26,"Binford 2001, Kelly 2013",50,50,50
247,Carrier_(Hwitsowitenne),NOAM,53.33,-123.15,n,7.5899999999999999,7.5999999999999996,7.595,"Binford 2001, Kelly 2013",43,40,41.5
